,contract,underlying,expiration,type,strike,style,bid,bid_size,ask,ask_size,volume,open_interest,quote_date,delta,gamma,theta,vega,implied_volatility
989,AAPL130614P00410000,AAPL,2013-06-14,put,410.0,A,0.68,,0.75,,1250,659,2013-06-03,-0.0585,0.0042,-57.2945,8.8605,0.3666
990,AAPL130614C00415000,AAPL,2013-06-14,call,415.0,A,36.15,,36.9,,35,35,2013-06-03,0.9349,0.0051,-57.2448,9.6237,0.3306
991,AAPL130614P00415000,AAPL,2013-06-14,put,415.0,A,0.86,,1.0,,513,371,2013-06-03,-0.0761,0.0054,-67.0179,10.8512,0.3502
992,AAPL130614C00420000,AAPL,2013-06-14,call,420.0,A,31.65,,32.2,,84,81,2013-06-03,0.9035,0.0068,-76.481,12.962,0.3296
993,AAPL130614P00420000,AAPL,2013-06-14,put,420.0,A,1.25,,1.33,,673,977,2013-06-03,-0.1027,0.007,-81.2396,13.5747,0.3394
994,AAPL130614C00425000,AAPL,2013-06-14,call,425.0,A,27.2,,27.7,,99,93,2013-06-03,0.8663,0.0088,-94.3566,16.3561,0.3232
995,AAPL130614P00425000,AAPL,2013-06-14,put,425.0,A,1.75,,1.85,,649,768,2013-06-03,-0.1382,0.0088,-97.265,16.7338,0.3297
996,AAPL130614C00430000,AAPL,2013-06-14,call,430.0,A,23.05,,23.4,,262,194,2013-06-03,0.8172,0.0109,-114.1759,20.0917,0.3191
997,AAPL130614P00430000,AAPL,2013-06-14,put,430.0,A,2.44,,2.58,,784,910,2013-06-03,-0.1842,0.0109,-114.1903,20.1832,0.321
998,AAPL130614C00435000,AAPL,2013-06-14,call,435.0,A,19.05,,19.4,,366,258,2013-06-03,0.7582,0.0131,-132.0399,23.6731,0.3137
999,AAPL130614P00435000,AAPL,2013-06-14,put,435.0,A,3.45,,3.6,,662,628,2013-06-03,-0.2429,0.0131,-131.82,23.7275,0.3153
1000,AAPL130614C00440000,AAPL,2013-06-14,call,440.0,A,15.45,,15.7,,872,1281,2013-06-03,0.6884,0.0151,-146.8584,26.8145,0.3084
1001,AAPL130614P00440000,AAPL,2013-06-14,put,440.0,A,4.8,,4.95,,1050,1496,2013-06-03,-0.3126,0.015,-146.8615,26.8536,0.3105
1002,AAPL130614C00445000,AAPL,2013-06-14,call,445.0,A,12.1,,12.45,,2821,784,2013-06-03,0.6092,0.0167,-156.5593,29.1121,0.3031
1003,AAPL130614P00445000,AAPL,2013-06-14,put,445.0,A,6.5,,6.7,,1143,625,2013-06-03,-0.3915,0.0166,-156.87,29.1288,0.3059
1004,AAPL130614C00450000,AAPL,2013-06-14,call,450.0,A,9.2,,9.5,,3883,3325,2013-06-03,0.5233,0.0177,-158.8856,30.2028,0.2967
1005,AAPL130614P00450000,AAPL,2013-06-14,put,450.0,A,8.6,,8.85,,708,478,2013-06-03,-0.4767,0.0174,-159.9485,30.203,0.301
1006,AAPL130614C00455000,AAPL,2013-06-14,call,455.0,A,6.9,,7.0,,1758,1706,2013-06-03,0.4345,0.0177,-155.2753,29.8453,0.2936
1007,AAPL130614P00455000,AAPL,2013-06-14,put,455.0,A,11.15,,11.45,,688,233,2013-06-03,-0.5646,0.0175,-155.777,29.8566,0.2968
1008,AAPL130614C00460000,AAPL,2013-06-14,call,460.0,A,4.95,,5.1,,2118,1983,2013-06-03,0.3482,0.0168,-144.5108,28.0371,0.291
1009,AAPL130614P00460000,AAPL,2013-06-14,put,460.0,A,14.2,,14.55,,473,248,2013-06-03,-0.6498,0.0166,-145.4564,28.0987,0.2948
1010,AAPL130614C00465000,AAPL,2013-06-14,call,465.0,A,3.45,,3.65,,1192,2205,2013-06-03,0.2705,0.015,-129.2168,25.0964,0.2908
1011,AAPL130614P00465000,AAPL,2013-06-14,put,465.0,A,17.7,,18.05,,94,153,2013-06-03,-0.7275,0.0149,-129.6872,25.1927,0.2936
1012,AAPL130614C00470000,AAPL,2013-06-14,call,470.0,A,2.34,,2.5,,1364,1439,2013-06-03,0.2018,0.0128,-109.2345,21.3464,0.2891
1013,AAPL130614P00470000,AAPL,2013-06-14,put,470.0,A,21.55,,21.95,,71,59,2013-06-03,-0.795,0.0128,-110.5058,21.5558,0.293
1014,AAPL130614C00475000,AAPL,2013-06-14,call,475.0,A,1.57,,1.71,,858,1043,2013-06-03,0.1475,0.0105,-89.9311,17.4877,0.2906
1015,AAPL130614P00475000,AAPL,2013-06-14,put,475.0,A,25.75,,26.2,,43,49,2013-06-03,-0.8483,0.0105,-91.8215,17.8142,0.2954
1016,AAPL130614C00480000,AAPL,2013-06-14,call,480.0,A,1.03,,1.17,,2698,1926,2013-06-03,0.1061,0.0082,-72.1499,13.8895,0.2936
1017,AAPL130614P00480000,AAPL,2013-06-14,put,480.0,A,30.2,,30.8,,43,70,2013-06-03,-0.8864,0.0084,-76.9179,14.5934,0.303
1018,AAPL130614C00485000,AAPL,2013-06-14,call,485.0,A,0.72,,0.79,,445,817,2013-06-03,0.0758,0.0063,-57.1132,10.8234,0.2983
1019,AAPL130614P00485000,AAPL,2013-06-14,put,485.0,A,34.75,,35.35,,30,21,2013-06-03,-0.9226,0.0064,-57.167,11.0004,0.3006
1020,AAPL130614C00490000,AAPL,2013-06-14,call,490.0,A,0.48,,0.56,,402,962,2013-06-03,0.0543,0.0047,-44.9218,8.3463,0.3043
1021,AAPL130614P00490000,AAPL,2013-06-14,put,490.0,A,39.6,,40.15,,16,4,2013-06-03,-0.9402,0.005,-48.5792,9.0059,0.3134
1022,AAPL130614C00495000,AAPL,2013-06-14,call,495.0,A,0.34,,0.41,,110,490,2013-06-03,0.04,0.0036,-36.2609,6.5445,0.3133
1023,AAPL130614P00495000,AAPL,2013-06-14,put,495.0,A,44.2,,45.2,,0,15,2013-06-03,-0.9599,0.0036,-34.9541,6.5511,0.3134
1024,AAPL130614C00500000,AAPL,2013-06-14,call,500.0,A,0.28,,0.3,,276,1734,2013-06-03,0.0308,0.0028,-30.333,5.2781,0.325
1025,AAPL130614P00500000,AAPL,2013-06-14,put,500.0,A,49.3,,49.85,,42,18,2013-06-03,-0.973,0.0026,-25.0147,4.7289,0.3155
1026,AAPL130614C00505000,AAPL,2013-06-14,call,505.0,A,0.15,,0.27,,30,1,2013-06-03,0.0223,0.0021,-23.588,4.0231,0.3316
1027,AAPL130614P00505000,AAPL,2013-06-14,put,505.0,A,54.2,,54.95,,17,0,2013-06-03,-0.9834,0.0017,-16.0178,3.1399,0.3134
1028,AAPL130614C00510000,AAPL,2013-06-14,call,510.0,A,0.14,,0.23,,26,242,2013-06-03,0.0191,0.0018,-21.8847,3.5427,0.3494
1029,AAPL130614P00510000,AAPL,2013-06-14,put,510.0,A,59.1,,60.0,,17,6,2013-06-03,-0.9897,0.0011,-10.0915,2.0731,0.3134
1030,AAPL130614C00515000,AAPL,2013-06-14,call,515.0,A,0.07,,0.14,,0,13,2013-06-03,0.0115,0.0011,-13.8681,2.281,0.3439
1031,AAPL130614P00515000,AAPL,2013-06-14,put,515.0,A,64.1,,65.0,,5,0,2013-06-03,-0.9938,0.0007,-5.9477,1.3278,0.3134
1032,AAPL130614C00520000,AAPL,2013-06-14,call,520.0,A,0.05,,0.12,,35,174,2013-06-03,0.0091,0.0009,-11.6289,1.8535,0.3549
1033,AAPL130614P00520000,AAPL,2013-06-14,put,520.0,A,68.75,,71.0,,0,0,2013-06-03,-0.9964,0.0005,-3.1522,0.8258,0.3134
1034,AAPL130614C00525000,AAPL,2013-06-14,call,525.0,A,0.04,,0.14,,0,63,2013-06-03,0.0086,0.0008,-11.7125,1.766,0.3752
1035,AAPL130614P00525000,AAPL,2013-06-14,put,525.0,A,73.75,,76.0,,0,0,2013-06-03,-0.9979,0.0002,-1.3285,0.4991,0.3134
1036,AAPL130614C00530000,AAPL,2013-06-14,call,530.0,A,0.03,,0.13,,0,155,2013-06-03,0.0072,0.0007,-10.4037,1.5162,0.3882
1037,AAPL130614P00530000,AAPL,2013-06-14,put,530.0,A,78.75,,81.0,,0,9,2013-06-03,-0.9988,0.0002,-0.1752,0.2934,0.3134
1038,AAPL130614C00535000,AAPL,2013-06-14,call,535.0,A,0.0,,0.12,,0,0,2013-06-03,0.0047,0.0005,-7.2431,1.0556,0.3882
1039,AAPL130614P00535000,AAPL,2013-06-14,put,535.0,A,83.7,,86.0,,0,0,2013-06-03,-0.9994,0.0001,0.5338,0.1679,0.3134
1040,AAPL130614C00540000,AAPL,2013-06-14,call,540.0,A,0.0,,0.05,,0,97,2013-06-03,0.0031,0.0002,-4.9576,0.7225,0.3882
1041,AAPL130614P00540000,AAPL,2013-06-14,put,540.0,A,88.75,,91.0,,0,0,2013-06-03,-0.9997,0.0001,0.9591,0.0936,0.3134
1042,AAPL130622C00200000,AAPL,2013-06-22,call,200.0,A,250.05,,251.3,,2,15,2013-06-03,0.9999,0.0,0.6307,0.0,0.3338
1043,AAPL130622P00200000,AAPL,2013-06-22,put,200.0,A,0.0,,0.02,,0,36,2013-06-03,0.0,0.0,0.0,0.0,0.3584
